PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,14025,1402501,34025,PBG,"Plattsburgh, NY",NY,36,New York,22,14025,1402501,34025,PBG,"Plattsburgh, NY",NY,36,New York,22,2026,1,1,1,L
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,2026,1,1,1,L
0.00,0.00,0.00,0.00,LNY,22137,"Western Aircraft, dba Lanai Air",01292,D,LNY,"Western Aircraft, dba Lanai Air",1,5,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,2026,1,2,1,F
0.00,0.00,0.00,0.00,M5,20272,Kenmore Air Harbor,06927,D,M5,Kenmore Air Harbor,1,6,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,2026,1,1,1,L
0.00,0.00,0.00,0.00,PFQ,20177,Asia Pacific,16070,I,PFQ,Asia Pacific,1,1,12016,1201602,32016,GUM,"Guam, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,12016,1201602,32016,GUM,"Guam, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,2026,1,2,1,P
0.00,0.00,0.00,0.00,PO,20100,Polar Air Cargo Airways,06758,D,PO,Polar Air Cargo Airways,3,3,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,2026,1,1,1,P
0.00,0.00,0.00,0.00,PO,20100,Polar Air Cargo Airways,06758,D,PO,Polar Air Cargo Airways,3,3,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,2026,1,1,1,P
0.00,0.00,0.00,0.00,SNK,20226,Spernak Airways Inc.,06970,D,SNK,Spernak Airways Inc.,1,5,13467,1346706,30299,MRI,"Anchorage, AK",AK,02,Alaska,1,13467,1346706,30299,MRI,"Anchorage, AK",AK,02,Alaska,1,2026,1,2,1,P
0.00,0.00,0.00,0.00,V8,20346,Iliamna Air Taxi,06983,D,V8,Iliamna Air Taxi,1,5,12321,1232102,32321,ILI,"Iliamna, AK",AK,02,Alaska,1,12321,1232102,32321,ILI,"Iliamna, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,4.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,12831,1283102,32831,KUK,"Kasigluk, AK",AK,02,Alaska,1,13770,1377002,33770,NUP,"Nunapitchuk, AK",AK,02,Alaska,1,2026,1,2,1,F
